,state_id,area_type,age_group,employment_status,male,female
44,0,Urban,80+,employed,388888,87728
45,0,Urban,Age not stated,employed,338788,78351
46,0,Urban,15-59,employed,87875855,19852337
47,0,Urban,60+,employed,6178565,1289017
48,1,Total,Total,employed,2305788,338361
49,1,Total,5-9,employed,4589,3285
50,1,Total,10-14,employed,11585,6069
51,1,Total,15-19,employed,54025,15882
52,1,Total,20-24,employed,206153,34765
53,1,Total,25-29,employed,356210,51394
54,1,Total,30-34,employed,347849,51767
55,1,Total,35-39,employed,325547,49235
56,1,Total,40-49,employed,525918,71824
57,1,Total,50-59,employed,297609,35761
58,1,Total,60-69,employed,117406,12099
59,1,Total,70-79,employed,42256,4162
60,1,Total,80+,employed,14064,1776
61,1,Total,Age not stated,employed,2577,342
62,1,Total,15-59,employed,2113311,310628
63,1,Total,60+,employed,173726,18037
64,1,Rural,Total,employed,1453157,216657
65,1,Rural,5-9,employed,3224,2384
66,1,Rural,10-14,employed,8235,4473
67,1,Rural,15-19,employed,39705,12387
68,1,Rural,20-24,employed,135551,25713
69,1,Rural,25-29,employed,218431,33113
70,1,Rural,30-34,employed,217976,32776
71,1,Rural,35-39,employed,201105,30257
72,1,Rural,40-49,employed,320179,41743
73,1,Rural,50-59,employed,185691,20173
74,1,Rural,60-69,employed,81437,8885
75,1,Rural,70-79,employed,30291,3230
76,1,Rural,80+,employed,9918,1297
77,1,Rural,Age not stated,employed,1414,226
78,1,Rural,15-59,employed,1318638,196162
79,1,Rural,60+,employed,121646,13412
80,1,Urban,Total,employed,852631,121704
81,1,Urban,5-9,employed,1365,901
82,1,Urban,10-14,employed,3350,1596
83,1,Urban,15-19,employed,14320,3495
84,1,Urban,20-24,employed,70602,9052
85,1,Urban,25-29,employed,137779,18281
86,1,Urban,30-34,employed,129873,18991
87,1,Urban,35-39,employed,124442,18978
88,1,Urban,40-49,employed,205739,30081
89,1,Urban,50-59,employed,111918,15588
90,1,Urban,60-69,employed,35969,3214
91,1,Urban,70-79,employed,11965,932
92,1,Urban,80+,employed,4146,479
93,1,Urban,Age not stated,employed,1163,116
94,1,Urban,15-59,employed,794673,114466
95,1,Urban,60+,employed,52080,4625
96,2,Total,Total,employed,1438989,623512
97,2,Total,5-9,employed,2416,2008
98,2,Total,10-14,employed,6047,4530
99,2,Total,15-19,employed,39298,20281
100,2,Total,20-24,employed,135758,62529
101,2,Total,25-29,employed,189861,82639
102,2,Total,30-34,employed,198958,84634
103,2,Total,35-39,employed,196971,85072
104,2,Total,40-49,employed,327335,139798
105,2,Total,50-59,employed,219970,86020
106,2,Total,60-69,employed,80440,37813
107,2,Total,70-79,employed,30638,13394
108,2,Total,80+,employed,9710,4122
109,2,Total,Age not stated,employed,1587,672
110,2,Total,15-59,employed,1308151,560973
111,2,Total,60+,employed,120788,55329
112,2,Rural,Total,employed,1247874,574235
113,2,Rural,5-9,employed,2141,1830
114,2,Rural,10-14,employed,5393,4230
115,2,Rural,15-19,employed,34073,19339
116,2,Rural,20-24,employed,118214,59004
117,2,Rural,25-29,employed,163679,76502
118,2,Rural,30-34,employed,171351,77750
119,2,Rural,35-39,employed,169790,77220
120,2,Rural,40-49,employed,280678,125819
121,2,Rural,50-59,employed,189661,78313
122,2,Rural,60-69,employed,74071,36600
123,2,Rural,70-79,employed,28503,13063
124,2,Rural,80+,employed,8983,3948
125,2,Rural,Age not stated,employed,1337,617
126,2,Rural,15-59,employed,1127446,513947
127,2,Rural,60+,employed,111557,53611
128,2,Urban,Total,employed,191115,49277
129,2,Urban,5-9,employed,275,178
130,2,Urban,10-14,employed,654,300
131,2,Urban,15-19,employed,5225,942
132,2,Urban,20-24,employed,17544,3525
133,2,Urban,25-29,employed,26182,6137
134,2,Urban,30-34,employed,27607,6884
135,2,Urban,35-39,employed,27181,7852
136,2,Urban,40-49,employed,46657,13979
137,2,Urban,50-59,employed,30309,7707
138,2,Urban,60-69,employed,6369,1213
139,2,Urban,70-79,employed,2135,331
140,2,Urban,80+,employed,727,174
141,2,Urban,Age not stated,employed,250,55
142,2,Urban,15-59,employed,180705,47026
143,2,Urban,60+,employed,9231,1718
144,3,Total,Total,employed,7264631,1186305
145,3,Total,5-9,employed,14337,9194
146,3,Total,10-14,employed,48759,18063
147,3,Total,15-19,employed,338041,58222
148,3,Total,20-24,employed,821204,124537
149,3,Total,25-29,employed,1003022,163650
150,3,Total,30-34,employed,929420,158184
151,3,Total,35-39,employed,887851,160431
152,3,Total,40-49,employed,1524234,258365
153,3,Total,50-59,employed,968620,141960
154,3,Total,60-69,employed,513402,67350
155,3,Total,70-79,employed,161521,17804
156,3,Total,80+,employed,45993,6895
157,3,Total,Age not stated,employed,8227,1650
158,3,Total,15-59,employed,6472392,1065349
159,3,Total,60+,employed,720916,92049
160,3,Rural,Total,employed,4417839,689185
161,3,Rural,5-9,employed,8746,5461
162,3,Rural,10-14,employed,31010,11737
163,3,Rural,15-19,employed,224962,38486
164,3,Rural,20-24,employed,518570,75039
165,3,Rural,25-29,employed,579366,89157
166,3,Rural,30-34,employed,537883,88488
167,3,Rural,35-39,employed,522456,90751
168,3,Rural,40-49,employed,914334,147435
169,3,Rural,50-59,employed,568590,77036
170,3,Rural,60-69,employed,356830,47212
171,3,Rural,70-79,employed,116470,12452
172,3,Rural,80+,employed,32919,4819
173,3,Rural,Age not stated,employed,5703,1112
174,3,Rural,15-59,employed,3866161,606392
175,3,Rural,60+,employed,506219,64483
176,3,Urban,Total,employed,2846792,497120
177,3,Urban,5-9,employed,5591,3733
178,3,Urban,10-14,employed,17749,6326
179,3,Urban,15-19,employed,113079,19736
180,3,Urban,20-24,employed,302634,49498
181,3,Urban,25-29,employed,423656,74493
182,3,Urban,30-34,employed,391537,69696
183,3,Urban,35-39,employed,365395,69680
184,3,Urban,40-49,employed,609900,110930
185,3,Urban,50-59,employed,400030,64924
186,3,Urban,60-69,employed,156572,20138
187,3,Urban,70-79,employed,45051,5352
188,3,Urban,80+,employed,13074,2076
189,3,Urban,Age not stated,employed,2524,538
190,3,Urban,15-59,employed,2606231,458957
191,3,Urban,60+,employed,214697,27566
192,4,Total,Total,employed,317190,68739
193,4,Total,5-9,employed,556,352
194,4,Total,10-14,employed,1450,777
195,4,Total,15-19,employed,13513,2365
196,4,Total,20-24,employed,38912,6873
197,4,Total,25-29,employed,52444,11238
198,4,Total,30-34,employed,46784,9957
199,4,Total,35-39,employed,43802,10025
200,4,Total,40-49,employed,67280,16121
201,4,Total,50-59,employed,41322,9203
202,4,Total,60-69,employed,8506,1381
203,4,Total,70-79,employed,1958,273
204,4,Total,80+,employed,577,144
205,4,Total,Age not stated,employed,86,30
206,4,Total,15-59,employed,304057,65782
207,4,Total,60+,employed,11041,1798
208,4,Rural,Total,employed,10356,1327
209,4,Rural,5-9,employed,12,3
210,4,Rural,10-14,employed,69,37
211,4,Rural,15-19,employed,775,103
212,4,Rural,20-24,employed,1785,151
213,4,Rural,25-29,employed,2135,215
214,4,Rural,30-34,employed,1831,284
215,4,Rural,35-39,employed,1414,201
216,4,Rural,40-49,employed,1519,245
217,4,Rural,50-59,employed,606,69
218,4,Rural,60-69,employed,164,16
219,4,Rural,70-79,employed,34,1
220,4,Rural,80+,employed,11,2
221,4,Rural,Age not stated,employed,1,0
222,4,Rural,15-59,employed,10065,1268
223,4,Rural,60+,employed,209,19
224,4,Urban,Total,employed,306834,67412
225,4,Urban,5-9,employed,544,349
226,4,Urban,10-14,employed,1381,740
227,4,Urban,15-19,employed,12738,2262
228,4,Urban,20-24,employed,37127,6722
229,4,Urban,25-29,employed,50309,11023
230,4,Urban,30-34,employed,44953,9673
231,4,Urban,35-39,employed,42388,9824
232,4,Urban,40-49,employed,65761,15876
233,4,Urban,50-59,employed,40716,9134
234,4,Urban,60-69,employed,8342,1365
235,4,Urban,70-79,employed,1924,272
236,4,Urban,80+,employed,566,142
237,4,Urban,Age not stated,employed,85,30
238,4,Urban,15-59,employed,293992,64514
239,4,Urban,60+,employed,10832,1779
240,5,Total,Total,employed,2070760,799864
241,5,Total,5-9,employed,4346,3478
242,5,Total,10-14,employed,12953,7321
243,5,Total,15-19,employed,91173,33672
244,5,Total,20-24,employed,219520,90483
245,5,Total,25-29,employed,280149,104361
246,5,Total,30-34,employed,275226,100141
247,5,Total,35-39,employed,272086,102943
248,5,Total,40-49,employed,440280,167228
249,5,Total,50-59,employed,277710,109018
250,5,Total,60-69,employed,136809,59288
251,5,Total,70-79,employed,43945,16481
252,5,Total,80+,employed,13321,4434
253,5,Total,Age not stated,employed,3242,1016
254,5,Total,15-59,employed,1856144,707846
255,5,Total,60+,employed,194075,80203
256,5,Rural,Total,employed,1322523,674809
257,5,Rural,5-9,employed,3252,2749
258,5,Rural,10-14,employed,9073,6127
259,5,Rural,15-19,employed,59986,29252
260,5,Rural,20-24,employed,139925,79033
261,5,Rural,25-29,employed,173069,87572
262,5,Rural,30-34,employed,169464,82859
263,5,Rural,35-39,employed,169652,84176
264,5,Rural,40-49,employed,274491,136867
265,5,Rural,50-59,employed,174507,91910
266,5,Rural,60-69,employed,103335,54382
267,5,Rural,70-79,employed,34206,15184
268,5,Rural,80+,employed,9805,3922
269,5,Rural,Age not stated,employed,1758,776
270,5,Rural,15-59,employed,1161094,591669
271,5,Rural,60+,employed,147346,73488
272,5,Urban,Total,employed,748237,125055
273,5,Urban,5-9,employed,1094,729
274,5,Urban,10-14,employed,3880,1194
275,5,Urban,15-19,employed,31187,4420
276,5,Urban,20-24,employed,79595,11450
277,5,Urban,25-29,employed,107080,16789
278,5,Urban,30-34,employed,105762,17282
279,5,Urban,35-39,employed,102434,18767
280,5,Urban,40-49,employed,165789,30361
281,5,Urban,50-59,employed,103203,17108
282,5,Urban,60-69,employed,33474,4906
283,5,Urban,70-79,employed,9739,1297
284,5,Urban,80+,employed,3516,512
285,5,Urban,Age not stated,employed,1484,240
286,5,Urban,15-59,employed,695050,116177
287,5,Urban,60+,employed,46729,6715
288,6,Total,Total,employed,5860600,1154683
289,6,Total,5-9,employed,8602,6015
290,6,Total,10-14,employed,27160,11715
291,6,Total,15-19,employed,219044,45803
292,6,Total,20-24,employed,684183,124139
293,6,Total,25-29,employed,898329,167740
294,6,Total,30-34,employed,817022,166728
295,6,Total,35-39,employed,782276,169463
296,6,Total,40-49,employed,1242218,253156
297,6,Total,50-59,employed,719268,135181
298,6,Total,60-69,employed,348674,57031
299,6,Total,70-79,employed,83786,11842
300,6,Total,80+,employed,24224,4366
301,6,Total,Age not stated,employed,5814,1504
302,6,Total,15-59,employed,5362340,1062210
303,6,Total,60+,employed,456684,73239
304,6,Rural,Total,employed,3672588,763217
305,6,Rural,5-9,employed,4790,3357
306,6,Rural,10-14,employed,16947,7526
307,6,Rural,15-19,employed,150684,33163
308,6,Rural,20-24,employed,459657,87032
309,6,Rural,25-29,employed,557993,105080
310,6,Rural,30-34,employed,497155,107365
311,6,Rural,35-39,employed,479141,110301
312,6,Rural,40-49,employed,757787,166513
313,6,Rural,50-59,employed,428234,87186
314,6,Rural,60-69,employed,242993,43435
315,6,Rural,70-79,employed,57832,8437
316,6,Rural,80+,employed,15785,2911
317,6,Rural,Age not stated,employed,3590,911
318,6,Rural,15-59,employed,3330651,696640
319,6,Rural,60+,employed,316610,54783
320,6,Urban,Total,employed,2188012,391466
321,6,Urban,5-9,employed,3812,2658
322,6,Urban,10-14,employed,10213,4189
323,6,Urban,15-19,employed,68360,12640
324,6,Urban,20-24,employed,224526,37107
325,6,Urban,25-29,employed,340336,62660
326,6,Urban,30-34,employed,319867,59363
327,6,Urban,35-39,employed,303135,59162
328,6,Urban,40-49,employed,484431,86643
329,6,Urban,50-59,employed,291034,47995
330,6,Urban,60-69,employed,105681,13596
331,6,Urban,70-79,employed,25954,3405
332,6,Urban,80+,employed,8439,1455
333,6,Urban,Age not stated,employed,2224,593
334,6,Urban,15-59,employed,2031689,365570
335,6,Urban,60+,employed,140074,18456
336,7,Total,Total,employed,4562710,744619
337,7,Total,5-9,employed,3721,2485
338,7,Total,10-14,employed,15308,4959
339,7,Total,15-19,employed,144527,21478
340,7,Total,20-24,employed,494440,82410
341,7,Total,25-29,employed,731594,124081
342,7,Total,30-34,employed,697616,106721
343,7,Total,35-39,employed,657660,107392
344,7,Total,40-49,employed,1022243,169430
345,7,Total,50-59,employed,572874,95334
346,7,Total,60-69,employed,175406,23834
347,7,Total,70-79,employed,33346,4112
348,7,Total,80+,employed,10364,1737
349,7,Total,Age not stated,employed,3611,646
350,7,Total,15-59,employed,4320954,706846
351,7,Total,60+,employed,219116,29683
352,7,Rural,Total,employed,103568,14942
353,7,Rural,5-9,employed,107,60
354,7,Rural,10-14,employed,353,109
355,7,Rural,15-19,employed,3804,488
356,7,Rural,20-24,employed,12369,1442
357,7,Rural,25-29,employed,16621,2044
358,7,Rural,30-34,employed,15462,2291
359,7,Rural,35-39,employed,15305,2382
360,7,Rural,40-49,employed,22984,3597
361,7,Rural,50-59,employed,11376,1705
362,7,Rural,60-69,employed,4044,686
363,7,Rural,70-79,employed,776,100
364,7,Rural,80+,employed,287,31
365,7,Rural,Age not stated,employed,80,7
366,7,Rural,15-59,employed,97921,13949
367,7,Rural,60+,employed,5107,817
368,7,Urban,Total,employed,4459142,729677
369,7,Urban,5-9,employed,3614,2425
370,7,Urban,10-14,employed,14955,4850
371,7,Urban,15-19,employed,140723,20990
372,7,Urban,20-24,employed,482071,80968
373,7,Urban,25-29,employed,714973,122037
374,7,Urban,30-34,employed,682154,104430
375,7,Urban,35-39,employed,642355,105010
376,7,Urban,40-49,employed,999259,165833
377,7,Urban,50-59,employed,561498,93629
378,7,Urban,60-69,employed,171362,23148
379,7,Urban,70-79,employed,32570,4012
380,7,Urban,80+,employed,10077,1706
381,7,Urban,Age not stated,employed,3531,639
382,7,Urban,15-59,employed,4223033,692897
383,7,Urban,60+,employed,214009,28866
384,8,Total,Total,employed,15243537,5814431
385,8,Total,5-9,employed,22180,19200
386,8,Total,10-14,employed,111405,99553
387,8,Total,15-19,employed,821945,435331
388,8,Total,20-24,employed,1922999,739865
389,8,Total,25-29,employed,2160896,766345
390,8,Total,30-34,employed,2022284,765031
391,8,Total,35-39,employed,1917579,738554
392,8,Total,40-49,employed,3102493,1169476
393,8,Total,50-59,employed,1922490,665903
394,8,Total,60-69,employed,876056,304130
395,8,Total,70-79,employed,253947,70397
396,8,Total,80+,employed,53463,16980
397,8,Total,Age not stated,employed,55800,23666
398,8,Total,15-59,employed,13870686,5280505
399,8,Total,60+,employed,1183466,391507
400,8,Rural,Total,employed,11069837,5103506
401,8,Rural,5-9,employed,16713,15488
402,8,Rural,10-14,employed,88050,90151
403,8,Rural,15-19,employed,649602,400456
404,8,Rural,20-24,employed,1452423,669718
405,8,Rural,25-29,employed,1540486,672855
406,8,Rural,30-34,employed,1431796,664350
407,8,Rural,35-39,employed,1358182,633186
408,8,Rural,40-49,employed,2191737,1005752
409,8,Rural,50-59,employed,1358845,576374
410,8,Rural,60-69,employed,696266,275974
411,8,Rural,70-79,employed,203594,63075
412,8,Rural,80+,employed,39455,14657
413,8,Rural,Age not stated,employed,42688,21470
414,8,Rural,15-59,employed,9983071,4622691
415,8,Rural,60+,employed,939315,353706
416,8,Urban,Total,employed,4173700,710925
417,8,Urban,5-9,employed,5467,3712
418,8,Urban,10-14,employed,23355,9402
419,8,Urban,15-19,employed,172343,34875
420,8,Urban,20-24,employed,470576,70147
421,8,Urban,25-29,employed,620410,93490
422,8,Urban,30-34,employed,590488,100681
423,8,Urban,35-39,employed,559397,105368
424,8,Urban,40-49,employed,910756,163724
425,8,Urban,50-59,employed,563645,89529
426,8,Urban,60-69,employed,179790,28156
427,8,Urban,70-79,employed,50353,7322
428,8,Urban,80+,employed,14008,2323
429,8,Urban,Age not stated,employed,13112,2196
430,8,Urban,15-59,employed,3887615,657814
431,8,Urban,60+,employed,244151,37801
432,9,Total,Total,employed,37420299,7215193
433,9,Total,5-9,employed,171429,116920
434,9,Total,10-14,employed,416079,191873
435,9,Total,15-19,employed,2121962,473651
436,9,Total,20-24,employed,4001356,696411
437,9,Total,25-29,employed,4599048,832455
438,9,Total,30-34,employed,4469992,864123
439,9,Total,35-39,employed,4698500,902540
440,9,Total,40-49,employed,7449038,1386562
441,9,Total,50-59,employed,4730877,888699
442,9,Total,60-69,employed,3061567,562006
443,9,Total,70-79,employed,1058956,172921
444,9,Total,80+,employed,351978,64245
445,9,Total,Age not stated,employed,289517,62787
446,9,Total,15-59,employed,32070773,6044441
447,9,Total,60+,employed,4472501,799172
448,9,Rural,Total,employed,27812347,5726470
449,9,Rural,5-9,employed,131318,92253
450,9,Rural,10-14,employed,314673,149746
451,9,Rural,15-19,employed,1614767,364407
452,9,Rural,20-24,employed,2969829,542754
453,9,Rural,25-29,employed,3348986,649513
454,9,Rural,30-34,employed,3255105,689610
455,9,Rural,35-39,employed,3454377,717001
456,9,Rural,40-49,employed,5402911,1089624
457,9,Rural,50-59,employed,3446748,704556
458,9,Rural,60-69,employed,2499762,477971
459,9,Rural,70-79,employed,889623,149258
460,9,Rural,80+,employed,284355,52860
461,9,Rural,Age not stated,employed,199893,46917
462,9,Rural,15-59,employed,23492723,4757465
463,9,Rural,60+,employed,3673740,680089
464,9,Urban,Total,employed,9607952,1488723
465,9,Urban,5-9,employed,40111,24667
466,9,Urban,10-14,employed,101406,42127
467,9,Urban,15-19,employed,507195,109244
468,9,Urban,20-24,employed,1031527,153657
469,9,Urban,25-29,employed,1250062,182942
470,9,Urban,30-34,employed,1214887,174513
471,9,Urban,35-39,employed,1244123,185539
472,9,Urban,40-49,employed,2046127,296938
473,9,Urban,50-59,employed,1284129,184143
474,9,Urban,60-69,employed,561805,84035
475,9,Urban,70-79,employed,169333,23663
476,9,Urban,80+,employed,67623,11385
477,9,Urban,Age not stated,employed,89624,15870
478,9,Urban,15-59,employed,8578050,1286976
479,9,Urban,60+,employed,798761,119083
480,10,Total,Total,employed,17270690,4088921
481,10,Total,5-9,employed,87746,68315
482,10,Total,10-14,employed,194429,101100
483,10,Total,15-19,employed,820351,226174
484,10,Total,20-24,employed,1660934,430320
485,10,Total,25-29,employed,2177303,534555
486,10,Total,30-34,employed,2265469,547586
487,10,Total,35-39,employed,2238912,522519
488,10,Total,40-49,employed,3465389,760392
489,10,Total,50-59,employed,2193927,469410
490,10,Total,60-69,employed,1507970,307877
491,10,Total,70-79,employed,475107,77874
492,10,Total,80+,employed,119433,23790
493,10,Total,Age not stated,employed,63720,19009
494,10,Total,15-59,employed,14822285,3490956
495,10,Total,60+,employed,2102510,409541
496,10,Rural,Total,employed,14988080,3735886
497,10,Rural,5-9,employed,80050,62673
498,10,Rural,10-14,employed,175515,93082
499,10,Rural,15-19,employed,733802,208538
500,10,Rural,20-24,employed,1470335,400375
501,10,Rural,25-29,employed,1902279,492079
502,10,Rural,30-34,employed,1957424,502083
503,10,Rural,35-39,employed,1926680,475086
504,10,Rural,40-49,employed,2947652,683257
505,10,Rural,50-59,employed,1860853,421864
506,10,Rural,60-69,employed,1344801,285425
507,10,Rural,70-79,employed,427759,72278
508,10,Rural,80+,employed,106748,22016
509,10,Rural,Age not stated,employed,54182,17130
510,10,Rural,15-59,employed,12799025,3183282
511,10,Rural,60+,employed,1879308,379719
512,10,Urban,Total,employed,2282610,353035
513,10,Urban,5-9,employed,7696,5642
514,10,Urban,10-14,employed,18914,8018
515,10,Urban,15-19,employed,86549,17636
516,10,Urban,20-24,employed,190599,29945
517,10,Urban,25-29,employed,275024,42476
518,10,Urban,30-34,employed,308045,45503
519,10,Urban,35-39,employed,312232,47433
520,10,Urban,40-49,employed,517737,77135
521,10,Urban,50-59,employed,333074,47546
522,10,Urban,60-69,employed,163169,22452
523,10,Urban,70-79,employed,47348,5596
524,10,Urban,80+,employed,12685,1774
525,10,Urban,Age not stated,employed,9538,1879
526,10,Urban,15-59,employed,2023260,307674
527,10,Urban,60+,employed,223202,29822
528,11,Total,Total,employed,160513,69884
529,11,Total,5-9,employed,363,282
530,11,Total,10-14,employed,1211,848
531,11,Total,15-19,employed,7028,3860
532,11,Total,20-24,employed,18921,8601
533,11,Total,25-29,employed,26117,11351
534,11,Total,30-34,employed,23802,10264
535,11,Total,35-39,employed,20106,9197
536,11,Total,40-49,employed,31568,13734
537,11,Total,50-59,employed,19494,7676
538,11,Total,60-69,employed,8015,2976
539,11,Total,70-79,employed,2909,746
540,11,Total,80+,employed,716,230
541,11,Total,Age not stated,employed,263,119
542,11,Total,15-59,employed,147036,64683
543,11,Total,60+,employed,11640,3952
544,11,Rural,Total,employed,119014,54668
545,11,Rural,5-9,employed,331,252
546,11,Rural,10-14,employed,997,650
547,11,Rural,15-19,employed,5640,3167
548,11,Rural,20-24,employed,14687,7178
549,11,Rural,25-29,employed,19371,8726
550,11,Rural,30-34,employed,17226,7715
551,11,Rural,35-39,employed,14078,6856
552,11,Rural,40-49,employed,22104,10370
553,11,Rural,50-59,employed,14348,6060
554,11,Rural,60-69,employed,6830,2700
555,11,Rural,70-79,employed,2589,684
556,11,Rural,80+,employed,604,199
557,11,Rural,Age not stated,employed,209,111
558,11,Rural,15-59,employed,107454,50072
559,11,Rural,60+,employed,10023,3583
560,11,Urban,Total,employed,41499,15216
561,11,Urban,5-9,employed,32,30
562,11,Urban,10-14,employed,214,198
563,11,Urban,15-19,employed,1388,693
564,11,Urban,20-24,employed,4234,1423
565,11,Urban,25-29,employed,6746,2625
566,11,Urban,30-34,employed,6576,2549
567,11,Urban,35-39,employed,6028,2341
568,11,Urban,40-49,employed,9464,3364
569,11,Urban,50-59,employed,5146,1616
570,11,Urban,60-69,employed,1185,276
571,11,Urban,70-79,employed,320,62
572,11,Urban,80+,employed,112,31
573,11,Urban,Age not stated,employed,54,8
574,11,Urban,15-59,employed,39582,14611
575,11,Urban,60+,employed,1617,369
576,12,Total,Total,employed,301109,177612
577,12,Total,5-9,employed,662,664
578,12,Total,10-14,employed,2181,2259
579,12,Total,15-19,employed,10813,9031
580,12,Total,20-24,employed,30183,20942
581,12,Total,25-29,employed,45473,28492
582,12,Total,30-34,employed,43366,25449
583,12,Total,35-39,employed,41351,25110
584,12,Total,40-49,employed,68556,36134
585,12,Total,50-59,employed,37382,18188
586,12,Total,60-69,employed,14819,8288
587,12,Total,70-79,employed,4443,2087
588,12,Total,80+,employed,1567,773
589,12,Total,Age not stated,employed,313,195
590,12,Total,15-59,employed,277124,163346
591,12,Total,60+,employed,20829,11148
592,12,Rural,Total,employed,223929,153459
593,12,Rural,5-9,employed,573,568
594,12,Rural,10-14,employed,1838,1940
595,12,Rural,15-19,employed,8830,7952
596,12,Rural,20-24,employed,23014,18426
597,12,Rural,25-29,employed,32749,23949
598,12,Rural,30-34,employed,31123,21116
599,12,Rural,35-39,employed,29573,20974
600,12,Rural,40-49,employed,48778,31062
601,12,Rural,50-59,employed,28510,16561
602,12,Rural,60-69,employed,13230,7990
603,12,Rural,70-79,employed,4133,2030
604,12,Rural,80+,employed,1351,716
605,12,Rural,Age not stated,employed,227,175
606,12,Rural,15-59,employed,202577,140040
607,12,Rural,60+,employed,18714,10736
608,12,Urban,Total,employed,77180,24153
609,12,Urban,5-9,employed,89,96
610,12,Urban,10-14,employed,343,319
611,12,Urban,15-19,employed,1983,1079
612,12,Urban,20-24,employed,7169,2516
613,12,Urban,25-29,employed,12724,4543
614,12,Urban,30-34,employed,12243,4333
615,12,Urban,35-39,employed,11778,4136
616,12,Urban,40-49,employed,19778,5072
617,12,Urban,50-59,employed,8872,1627
618,12,Urban,60-69,employed,1589,298
619,12,Urban,70-79,employed,310,57
620,12,Urban,80+,employed,216,57
621,12,Urban,Age not stated,employed,86,20
622,12,Urban,15-59,employed,74547,23306
623,12,Urban,60+,employed,2115,412
624,13,Total,Total,employed,442204,298975
625,13,Total,5-9,employed,1075,963
626,13,Total,10-14,employed,4878,4146
627,13,Total,15-19,employed,20660,16240
628,13,Total,20-24,employed,45567,33583
629,13,Total,25-29,employed,61680,42522
630,13,Total,30-34,employed,63753,41994
631,13,Total,35-39,employed,57564,39301
632,13,Total,40-49,employed,96893,61324
633,13,Total,50-59,employed,52956,33174
634,13,Total,60-69,employed,23475,16853
635,13,Total,70-79,employed,9688,6604
636,13,Total,80+,employed,3699,2097
637,13,Total,Age not stated,employed,316,174
638,13,Total,15-59,employed,399073,268138
639,13,Total,60+,employed,36862,25554
640,13,Rural,Total,employed,316384,251290
641,13,Rural,5-9,employed,911,836
642,13,Rural,10-14,employed,4163,3751
643,13,Rural,15-19,employed,17002,14919
644,13,Rural,20-24,employed,33990,28968
645,13,Rural,25-29,employed,41525,34564
646,13,Rural,30-34,employed,43009,33541
647,13,Rural,35-39,employed,38822,31947
648,13,Rural,40-49,employed,66844,50538
649,13,Rural,50-59,employed,38399,28487
650,13,Rural,60-69,employed,19475,15457
651,13,Rural,70-79,employed,8650,6198
652,13,Rural,80+,employed,3313,1920
653,13,Rural,Age not stated,employed,281,164
654,13,Rural,15-59,employed,279591,222964
655,13,Rural,60+,employed,31438,23575
656,13,Urban,Total,employed,125820,47685
657,13,Urban,5-9,employed,164,127
658,13,Urban,10-14,employed,715,395
659,13,Urban,15-19,employed,3658,1321
660,13,Urban,20-24,employed,11577,4615
661,13,Urban,25-29,employed,20155,7958
662,13,Urban,30-34,employed,20744,8453
663,13,Urban,35-39,employed,18742,7354
664,13,Urban,40-49,employed,30049,10786
665,13,Urban,50-59,employed,14557,4687
666,13,Urban,60-69,employed,4000,1396
667,13,Urban,70-79,employed,1038,406
668,13,Urban,80+,employed,386,177
669,13,Urban,Age not stated,employed,35,10
670,13,Urban,15-59,employed,119482,45174
671,13,Urban,60+,employed,5424,1979
672,14,Total,Total,employed,615135,359028
673,14,Total,5-9,employed,1762,1534
