,state_id,area_type,age_group_of_head,marital_status,male,female
70,2,Rural,All Ages,Total,1033582,276812
71,2,Rural,Less than 20,Total,4286,2296
72,2,Rural,20-29,Total,46177,8449
73,2,Rural,30-39,Total,199357,36293
74,2,Rural,40-49,Total,271884,54943
75,2,Rural,50-59,Total,232027,54030
76,2,Rural,60-69,Total,161488,55975
77,2,Rural,70-79,Total,81383,41524
78,2,Rural,80+,Total,36016,23036
79,2,Rural,Age Not Stated,Total,964,266
80,2,Urban,All Ages,Total,141244,28505
81,2,Urban,Less than 20,Total,1278,443
82,2,Urban,20-29,Total,14368,2305
83,2,Urban,30-39,Total,31841,4489
84,2,Urban,40-49,Total,38394,5740
85,2,Urban,50-59,Total,30700,5533
86,2,Urban,60-69,Total,15020,4949
87,2,Urban,70-79,Total,7042,3389
88,2,Urban,80+,Total,2452,1632
89,2,Urban,Age Not Stated,Total,149,25
90,3,Total,All Ages,Total,4700674,796030
91,3,Total,Less than 20,Total,31108,13465
92,3,Total,20-29,Total,288549,20063
93,3,Total,30-39,Total,920113,74291
94,3,Total,40-49,Total,1245050,151213
95,3,Total,50-59,Total,983754,159496
96,3,Total,60-69,Total,757154,190147
97,3,Total,70-79,Total,338954,119324
98,3,Total,80+,Total,131055,67005
99,3,Total,Age Not Stated,Total,4937,1026
100,3,Rural,All Ages,Total,2851383,499026
101,3,Rural,Less than 20,Total,17995,8422
102,3,Rural,20-29,Total,154994,12950
103,3,Rural,30-39,Total,531195,49440
104,3,Rural,40-49,Total,745065,94407
105,3,Rural,50-59,Total,573843,91626
106,3,Rural,60-69,Total,496876,117713
107,3,Rural,70-79,Total,233068,76938
108,3,Rural,80+,Total,94996,46815
109,3,Rural,Age Not Stated,Total,3351,715
110,3,Urban,All Ages,Total,1849291,297004
111,3,Urban,Less than 20,Total,13113,5043
112,3,Urban,20-29,Total,133555,7113
113,3,Urban,30-39,Total,388918,24851
114,3,Urban,40-49,Total,499985,56806
115,3,Urban,50-59,Total,409911,67870
116,3,Urban,60-69,Total,260278,72434
117,3,Urban,70-79,Total,105886,42386
118,3,Urban,80+,Total,36059,20190
119,3,Urban,Age Not Stated,Total,1586,311
120,4,Total,All Ages,Total,216508,24016
121,4,Total,Less than 20,Total,1663,298
122,4,Total,20-29,Total,28923,1298
123,4,Total,30-39,Total,57843,2595
124,4,Total,40-49,Total,56448,5394
125,4,Total,50-59,Total,41065,5698
126,4,Total,60-69,Total,19588,4884
127,4,Total,70-79,Total,8115,2627
128,4,Total,80+,Total,2815,1210
129,4,Total,Age Not Stated,Total,48,12
130,4,Rural,All Ages,Total,6733,405
131,4,Rural,Less than 20,Total,135,13
132,4,Rural,20-29,Total,1770,26
133,4,Rural,30-39,Total,2423,62
134,4,Rural,40-49,Total,1313,100
135,4,Rural,50-59,Total,591,83
136,4,Rural,60-69,Total,356,70
137,4,Rural,70-79,Total,110,35
138,4,Rural,80+,Total,35,16
139,4,Rural,Age Not Stated,Total,0,0
140,4,Urban,All Ages,Total,209775,23611
141,4,Urban,Less than 20,Total,1528,285
142,4,Urban,20-29,Total,27153,1272
143,4,Urban,30-39,Total,55420,2533
144,4,Urban,40-49,Total,55135,5294
145,4,Urban,50-59,Total,40474,5615
146,4,Urban,60-69,Total,19232,4814
147,4,Urban,70-79,Total,8005,2592
148,4,Urban,80+,Total,2780,1194
149,4,Urban,Age Not Stated,Total,48,12
150,5,Total,All Ages,Total,1656714,392668
151,5,Total,Less than 20,Total,14192,6516
152,5,Total,20-29,Total,140907,26740
153,5,Total,30-39,Total,376213,64746
154,5,Total,40-49,Total,425001,81363
155,5,Total,50-59,Total,317334,73374
156,5,Total,60-69,Total,243058,79668
157,5,Total,70-79,Total,104452,43654
158,5,Total,80+,Total,33248,16049
159,5,Total,Age Not Stated,Total,2309,558
160,5,Rural,All Ages,Total,1125991,295784
161,5,Rural,Less than 20,Total,9395,4783
162,5,Rural,20-29,Total,91314,19652
163,5,Rural,30-39,Total,250290,48534
164,5,Rural,40-49,Total,281763,60745
165,5,Rural,50-59,Total,210511,54052
166,5,Rural,60-69,Total,177625,61390
167,5,Rural,70-79,Total,78480,34122
168,5,Rural,80+,Total,25245,12124
169,5,Rural,Age Not Stated,Total,1368,382
170,5,Urban,All Ages,Total,530723,96884
171,5,Urban,Less than 20,Total,4797,1733
172,5,Urban,20-29,Total,49593,7088
173,5,Urban,30-39,Total,125923,16212
174,5,Urban,40-49,Total,143238,20618
175,5,Urban,50-59,Total,106823,19322
176,5,Urban,60-69,Total,65433,18278
177,5,Urban,70-79,Total,25972,9532
178,5,Urban,80+,Total,8003,3925
179,5,Urban,Age Not Stated,Total,941,176
180,6,Total,All Ages,Total,4281429,565971
181,6,Total,Less than 20,Total,29898,12445
182,6,Total,20-29,Total,377699,19243
183,6,Total,30-39,Total,1019099,66912
184,6,Total,40-49,Total,1151453,120214
185,6,Total,50-59,Total,792263,116706
186,6,Total,60-69,Total,592528,121864
187,6,Total,70-79,Total,230191,72263
188,6,Total,80+,Total,84584,35732
189,6,Total,Age Not Stated,Total,3714,592
190,6,Rural,All Ages,Total,2688900,350566
191,6,Rural,Less than 20,Total,18338,8110
192,6,Rural,20-29,Total,230025,12131
193,6,Rural,30-39,Total,631884,44408
194,6,Rural,40-49,Total,718700,76546
195,6,Rural,50-59,Total,478276,68907
196,6,Rural,60-69,Total,393526,73792
197,6,Rural,70-79,Total,155688,43807
198,6,Rural,80+,Total,60278,22525
199,6,Rural,Age Not Stated,Total,2185,340
200,6,Urban,All Ages,Total,1592529,215405
201,6,Urban,Less than 20,Total,11560,4335
202,6,Urban,20-29,Total,147674,7112
203,6,Urban,30-39,Total,387215,22504
204,6,Urban,40-49,Total,432753,43668
205,6,Urban,50-59,Total,313987,47799
206,6,Urban,60-69,Total,199002,48072
207,6,Urban,70-79,Total,74503,28456
208,6,Urban,80+,Total,24306,13207
209,6,Urban,Age Not Stated,Total,1529,252
210,7,Total,All Ages,Total,3035940,394821
211,7,Total,Less than 20,Total,19183,6041
212,7,Total,20-29,Total,291985,13594
213,7,Total,30-39,Total,797181,37228
214,7,Total,40-49,Total,856211,80135
215,7,Total,50-59,Total,573002,90182
216,7,Total,60-69,Total,335460,98579
217,7,Total,70-79,Total,123394,49413
218,7,Total,80+,Total,37526,19322
219,7,Total,Age Not Stated,Total,1998,327
220,7,Rural,All Ages,Total,70464,9044
221,7,Rural,Less than 20,Total,499,156
222,7,Rural,20-29,Total,6725,282
223,7,Rural,30-39,Total,19135,1071
224,7,Rural,40-49,Total,20636,2020
225,7,Rural,50-59,Total,12030,1856
226,7,Rural,60-69,Total,7758,2156
227,7,Rural,70-79,Total,2596,1021
228,7,Rural,80+,Total,1034,474
229,7,Rural,Age Not Stated,Total,51,8
230,7,Urban,All Ages,Total,2965476,385777
231,7,Urban,Less than 20,Total,18684,5885
232,7,Urban,20-29,Total,285260,13312
233,7,Urban,30-39,Total,778046,36157
234,7,Urban,40-49,Total,835575,78115
235,7,Urban,50-59,Total,560972,88326
236,7,Urban,60-69,Total,327702,96423
237,7,Urban,70-79,Total,120798,48392
238,7,Urban,80+,Total,36492,18848
239,7,Urban,Age Not Stated,Total,1947,319
240,8,Total,All Ages,Total,11511640,1177124
241,8,Total,Less than 20,Total,101985,36128
242,8,Total,20-29,Total,1351262,71021
243,8,Total,30-39,Total,2888911,186856
244,8,Total,40-49,Total,2998435,250746
245,8,Total,50-59,Total,2106062,220030
246,8,Total,60-69,Total,1312276,223978
247,8,Total,70-79,Total,560774,134885
248,8,Total,80+,Total,153635,49155
249,8,Total,Age Not Stated,Total,38300,4325
250,8,Rural,All Ages,Total,8652069,831282
251,8,Rural,Less than 20,Total,75078,25382
252,8,Rural,20-29,Total,1084061,54796
253,8,Rural,30-39,Total,2203554,143094
254,8,Rural,40-49,Total,2211686,178493
255,8,Rural,50-59,Total,1523440,147634
256,8,Rural,60-69,Total,987149,154251
257,8,Rural,70-79,Total,423055,92509
258,8,Rural,80+,Total,113619,31857
259,8,Rural,Age Not Stated,Total,30427,3266
260,8,Urban,All Ages,Total,2859571,345842
261,8,Urban,Less than 20,Total,26907,10746
262,8,Urban,20-29,Total,267201,16225
263,8,Urban,30-39,Total,685357,43762
264,8,Urban,40-49,Total,786749,72253
265,8,Urban,50-59,Total,582622,72396
266,8,Urban,60-69,Total,325127,69727
267,8,Urban,70-79,Total,137719,42376
268,8,Urban,80+,Total,40016,17298
269,8,Urban,Age Not Stated,Total,7873,1059
270,9,Total,All Ages,Total,29298014,4006871
271,9,Total,Less than 20,Total,486523,260212
272,9,Total,20-29,Total,2539336,205518
273,9,Total,30-39,Total,6638828,489651
274,9,Total,40-49,Total,7383069,742147
275,9,Total,50-59,Total,5360494,733207
276,9,Total,60-69,Total,4299246,889959
277,9,Total,70-79,Total,1780627,474601
278,9,Total,80+,Total,588431,176673
279,9,Total,Age Not Stated,Total,221460,34903
280,9,Rural,All Ages,Total,22576354,3018996
281,9,Rural,Less than 20,Total,385110,208146
282,9,Rural,20-29,Total,2017076,163492
283,9,Rural,30-39,Total,5113156,387172
284,9,Rural,40-49,Total,5524756,546229
285,9,Rural,50-59,Total,3996077,516696
286,9,Rural,60-69,Total,3444444,669094
287,9,Rural,70-79,Total,1453056,366411
288,9,Rural,80+,Total,483798,136607
289,9,Rural,Age Not Stated,Total,158881,25149
290,9,Urban,All Ages,Total,6721660,987875
291,9,Urban,Less than 20,Total,101413,52066
292,9,Urban,20-29,Total,522260,42026
293,9,Urban,30-39,Total,1525672,102479
294,9,Urban,40-49,Total,1858313,195918
295,9,Urban,50-59,Total,1364417,216511
296,9,Urban,60-69,Total,854802,220865
297,9,Urban,70-79,Total,327571,108190
298,9,Urban,80+,Total,104633,40066
299,9,Urban,Age Not Stated,Total,62579,9754
300,10,Total,All Ages,Total,16902635,1974627
301,10,Total,Less than 20,Total,217807,102278
302,10,Total,20-29,Total,2069427,163534
303,10,Total,30-39,Total,4279195,318722
304,10,Total,40-49,Total,4027105,375908
305,10,Total,50-59,Total,2809578,332753
306,10,Total,60-69,Total,2341147,427220
307,10,Total,70-79,Total,872263,191152
308,10,Total,80+,Total,225511,55555
309,10,Total,Age Not Stated,Total,60602,7505
310,10,Rural,All Ages,Total,15096412,1737844
311,10,Rural,Less than 20,Total,194669,90695
312,10,Rural,20-29,Total,1923608,151537
313,10,Rural,30-39,Total,3866575,288674
314,10,Rural,40-49,Total,3547390,328220
315,10,Rural,50-59,Total,2450653,283395
316,10,Rural,60-69,Total,2085142,373386
317,10,Rural,70-79,Total,774852,167302
318,10,Rural,80+,Total,200747,48288
319,10,Rural,Age Not Stated,Total,52776,6347
320,10,Urban,All Ages,Total,1806223,236783
321,10,Urban,Less than 20,Total,23138,11583
322,10,Urban,20-29,Total,145819,11997
323,10,Urban,30-39,Total,412620,30048
324,10,Urban,40-49,Total,479715,47688
325,10,Urban,50-59,Total,358925,49358
326,10,Urban,60-69,Total,256005,53834
327,10,Urban,70-79,Total,97411,23850
328,10,Urban,80+,Total,24764,7267
329,10,Urban,Age Not Stated,Total,7826,1158
330,11,Total,All Ages,Total,111500,16690
331,11,Total,Less than 20,Total,940,454
332,11,Total,20-29,Total,14623,1662
333,11,Total,30-39,Total,29082,2735
334,11,Total,40-49,Total,27985,3490
335,11,Total,50-59,Total,20617,3464
336,11,Total,60-69,Total,11051,2799
337,11,Total,70-79,Total,5530,1533
338,11,Total,80+,Total,1552,529
339,11,Total,Age Not Stated,Total,120,24
340,11,Rural,All Ages,Total,80964,11757
341,11,Rural,Less than 20,Total,702,332
342,11,Rural,20-29,Total,10134,995
343,11,Rural,30-39,Total,20321,1810
344,11,Rural,40-49,Total,19646,2385
345,11,Rural,50-59,Total,15181,2443
346,11,Rural,60-69,Total,8958,2155
347,11,Rural,70-79,Total,4629,1190
348,11,Rural,80+,Total,1295,429
349,11,Rural,Age Not Stated,Total,98,18
350,11,Urban,All Ages,Total,30536,4933
351,11,Urban,Less than 20,Total,238,122
352,11,Urban,20-29,Total,4489,667
353,11,Urban,30-39,Total,8761,925
354,11,Urban,40-49,Total,8339,1105
355,11,Urban,50-59,Total,5436,1021
356,11,Urban,60-69,Total,2093,644
357,11,Urban,70-79,Total,901,343
358,11,Urban,80+,Total,257,100
359,11,Urban,Age Not Stated,Total,22,6
360,12,Total,All Ages,Total,231845,35114
361,12,Total,Less than 20,Total,2825,1342
362,12,Total,20-29,Total,33814,4974
363,12,Total,30-39,Total,67150,8156
364,12,Total,40-49,Total,63906,9150
365,12,Total,50-59,Total,38549,5929
366,12,Total,60-69,Total,17400,3705
367,12,Total,70-79,Total,5963,1312
368,12,Total,80+,Total,2001,485
369,12,Total,Age Not Stated,Total,237,61
370,12,Rural,All Ages,Total,173083,24548
371,12,Rural,Less than 20,Total,1975,839
372,12,Rural,20-29,Total,24258,2589
373,12,Rural,30-39,Total,48562,5079
374,12,Rural,40-49,Total,46131,6422
375,12,Rural,50-59,Total,29539,4678
376,12,Rural,60-69,Total,15227,3287
377,12,Rural,70-79,Total,5432,1174
378,12,Rural,80+,Total,1779,434
379,12,Rural,Age Not Stated,Total,180,46
380,12,Urban,All Ages,Total,58762,10566
381,12,Urban,Less than 20,Total,850,503
382,12,Urban,20-29,Total,9556,2385
383,12,Urban,30-39,Total,18588,3077
384,12,Urban,40-49,Total,17775,2728
385,12,Urban,50-59,Total,9010,1251
386,12,Urban,60-69,Total,2173,418
387,12,Urban,70-79,Total,531,138
388,12,Urban,80+,Total,222,51
389,12,Urban,Age Not Stated,Total,57,15
390,13,Total,All Ages,Total,339962,53423
391,13,Total,Less than 20,Total,4215,1966
392,13,Total,20-29,Total,44762,5597
393,13,Total,30-39,Total,96254,9172
394,13,Total,40-49,Total,90066,11017
395,13,Total,50-59,Total,55397,9751
396,13,Total,60-69,Total,29434,8223
397,13,Total,70-79,Total,13568,5077
398,13,Total,80+,Total,6050,2597
399,13,Total,Age Not Stated,Total,216,23
400,13,Rural,All Ages,Total,241009,35171
401,13,Rural,Less than 20,Total,2765,1072
402,13,Rural,20-29,Total,30977,2811
403,13,Rural,30-39,Total,65605,5083
404,13,Rural,40-49,Total,62903,6779
405,13,Rural,50-59,Total,39579,6745
406,13,Rural,60-69,Total,22687,6304
407,13,Rural,70-79,Total,11167,4188
408,13,Rural,80+,Total,5145,2170
409,13,Rural,Age Not Stated,Total,181,19
410,13,Urban,All Ages,Total,98953,18252
411,13,Urban,Less than 20,Total,1450,894
412,13,Urban,20-29,Total,13785,2786
413,13,Urban,30-39,Total,30649,4089
414,13,Urban,40-49,Total,27163,4238
415,13,Urban,50-59,Total,15818,3006
416,13,Urban,60-69,Total,6747,1919
417,13,Urban,70-79,Total,2401,889
418,13,Urban,80+,Total,905,427
419,13,Urban,Age Not Stated,Total,35,4
420,14,Total,All Ages,Total,472620,83320
421,14,Total,Less than 20,Total,3509,1624
422,14,Total,20-29,Total,41906,2736
423,14,Total,30-39,Total,112825,8474
424,14,Total,40-49,Total,125763,15144
425,14,Total,50-59,Total,96621,18777
426,14,Total,60-69,Total,55978,18550
427,14,Total,70-79,Total,25162,12075
428,14,Total,80+,Total,9865,5727
429,14,Total,Age Not Stated,Total,991,213
430,14,Rural,All Ages,Total,332141,52012
431,14,Rural,Less than 20,Total,2499,1128
432,14,Rural,20-29,Total,32060,1897
433,14,Rural,30-39,Total,81503,5727
434,14,Rural,40-49,Total,88181,9893
435,14,Rural,50-59,Total,65868,11642
436,14,Rural,60-69,Total,38109,11401
437,14,Rural,70-79,Total,16760,7062
438,14,Rural,80+,Total,6451,3125
439,14,Rural,Age Not Stated,Total,710,137
440,14,Urban,All Ages,Total,140479,31308
441,14,Urban,Less than 20,Total,1010,496
442,14,Urban,20-29,Total,9846,839
443,14,Urban,30-39,Total,31322,2747
444,14,Urban,40-49,Total,37582,5251
445,14,Urban,50-59,Total,30753,7135
446,14,Urban,60-69,Total,17869,7149
447,14,Urban,70-79,Total,8402,5013
448,14,Urban,80+,Total,3414,2602
449,14,Urban,Age Not Stated,Total,281,76
450,15,Total,All Ages,Total,185048,37069
451,15,Total,Less than 20,Total,1148,599
452,15,Total,20-29,Total,25242,2297
453,15,Total,30-39,Total,47591,4745
454,15,Total,40-49,Total,44697,7656
455,15,Total,50-59,Total,34876,8515
456,15,Total,60-69,Total,18996,6946
457,15,Total,70-79,Total,9249,4392
458,15,Total,80+,Total,3135,1888
459,15,Total,Age Not Stated,Total,114,31
460,15,Rural,All Ages,Total,91902,13750
461,15,Rural,Less than 20,Total,589,263
462,15,Rural,20-29,Total,14606,784
463,15,Rural,30-39,Total,24159,1698
464,15,Rural,40-49,Total,20553,2573
465,15,Rural,50-59,Total,16775,3136
466,15,Rural,60-69,Total,9447,2861
467,15,Rural,70-79,Total,4360,1696
468,15,Rural,80+,Total,1364,726
469,15,Rural,Age Not Stated,Total,49,13
470,15,Urban,All Ages,Total,93146,23319
471,15,Urban,Less than 20,Total,559,336
472,15,Urban,20-29,Total,10636,1513
473,15,Urban,30-39,Total,23432,3047
474,15,Urban,40-49,Total,24144,5083
475,15,Urban,50-59,Total,18101,5379
476,15,Urban,60-69,Total,9549,4085
477,15,Urban,70-79,Total,4889,2696
478,15,Urban,80+,Total,1771,1162
479,15,Urban,Age Not Stated,Total,65,18
480,16,Total,All Ages,Total,732203,120647
481,16,Total,Less than 20,Total,4052,1155
482,16,Total,20-29,Total,78056,6001
483,16,Total,30-39,Total,182625,16115
484,16,Total,40-49,Total,198995,28220
485,16,Total,50-59,Total,140919,28634
486,16,Total,60-69,Total,79747,24032
487,16,Total,70-79,Total,35048,12030
488,16,Total,80+,Total,12502,4384
489,16,Total,Age Not Stated,Total,259,76
490,16,Rural,All Ages,Total,532826,81836
491,16,Rural,Less than 20,Total,3306,858
492,16,Rural,20-29,Total,65461,4542
493,16,Rural,30-39,Total,139489,11215
494,16,Rural,40-49,Total,140055,18886
495,16,Rural,50-59,Total,93789,18416
496,16,Rural,60-69,Total,55574,16367
497,16,Rural,70-79,Total,25398,8366
498,16,Rural,80+,Total,9607,3145
499,16,Rural,Age Not Stated,Total,147,41
500,16,Urban,All Ages,Total,199377,38811
501,16,Urban,Less than 20,Total,746,297
502,16,Urban,20-29,Total,12595,1459
503,16,Urban,30-39,Total,43136,4900
504,16,Urban,40-49,Total,58940,9334
505,16,Urban,50-59,Total,47130,10218
506,16,Urban,60-69,Total,24173,7665
507,16,Urban,70-79,Total,9650,3664
508,16,Urban,80+,Total,2895,1239
509,16,Urban,Age Not Stated,Total,112,35
510,17,Total,All Ages,Total,419549,126845
511,17,Total,Less than 20,Total,5987,4399
512,17,Total,20-29,Total,68542,16552
513,17,Total,30-39,Total,116460,23314
514,17,Total,40-49,Total,108274,29128
515,17,Total,50-59,Total,65908,23891
516,17,Total,60-69,Total,35653,17572
517,17,Total,70-79,Total,13400,8477
518,17,Total,80+,Total,4475,3252
519,17,Total,Age Not Stated,Total,850,260
520,17,Rural,All Ages,Total,333146,96366
521,17,Rural,Less than 20,Total,4866,3549
522,17,Rural,20-29,Total,56563,13557
523,17,Rural,30-39,Total,92596,18099
524,17,Rural,40-49,Total,84365,21839
525,17,Rural,50-59,Total,50977,17314
526,17,Rural,60-69,Total,28716,13210
527,17,Rural,70-79,Total,10748,6289
528,17,Rural,80+,Total,3573,2290
529,17,Rural,Age Not Stated,Total,742,219
530,17,Urban,All Ages,Total,86403,30479
531,17,Urban,Less than 20,Total,1121,850
532,17,Urban,20-29,Total,11979,2995
533,17,Urban,30-39,Total,23864,5215
534,17,Urban,40-49,Total,23909,7289
535,17,Urban,50-59,Total,14931,6577
536,17,Urban,60-69,Total,6937,4362
537,17,Urban,70-79,Total,2652,2188
538,17,Urban,80+,Total,902,962
539,17,Urban,Age Not Stated,Total,108,41
540,18,Total,All Ages,Total,5536966,853374
541,18,Total,Less than 20,Total,52870,18487
542,18,Total,20-29,Total,598902,36392
543,18,Total,30-39,Total,1409924,108118
544,18,Total,40-49,Total,1519049,195521
545,18,Total,50-59,Total,1015496,194624
546,18,Total,60-69,Total,596701,185454
547,18,Total,70-79,Total,258146,86326
548,18,Total,80+,Total,82957,27817
549,18,Total,Age Not Stated,Total,2921,635
550,18,Rural,All Ages,Total,4711956,697206
551,18,Rural,Less than 20,Total,47450,16348
552,18,Rural,20-29,Total,540130,30513
553,18,Rural,30-39,Total,1229409,90471
554,18,Rural,40-49,Total,1275506,160166
555,18,Rural,50-59,Total,830825,156637
556,18,Rural,60-69,Total,496980,151028
557,18,Rural,70-79,Total,217968,69219
558,18,Rural,80+,Total,71456,22363
559,18,Rural,Age Not Stated,Total,2232,461
560,18,Urban,All Ages,Total,825010,156168
561,18,Urban,Less than 20,Total,5420,2139
562,18,Urban,20-29,Total,58772,5879
563,18,Urban,30-39,Total,180515,17647
564,18,Urban,40-49,Total,243543,35355
565,18,Urban,50-59,Total,184671,37987
566,18,Urban,60-69,Total,99721,34426
567,18,Urban,70-79,Total,40178,17107
568,18,Urban,80+,Total,11501,5454
569,18,Urban,Age Not Stated,Total,689,174
570,19,Total,All Ages,Total,17723235,2615284
571,19,Total,Less than 20,Total,125911,42600
572,19,Total,20-29,Total,1664123,93410
573,19,Total,30-39,Total,4027216,269905
574,19,Total,40-49,Total,4898922,538352
575,19,Total,50-59,Total,3670776,609252
576,19,Total,60-69,Total,2170781,632777
577,19,Total,70-79,Total,879294,319715
578,19,Total,80+,Total,267384,105474
579,19,Total,Age Not Stated,Total,18828,3799
580,19,Rural,All Ages,Total,12224452,1567522
581,19,Rural,Less than 20,Total,88807,27125
582,19,Rural,20-29,Total,1322444,65441
583,19,Rural,30-39,Total,2955820,180331
584,19,Rural,40-49,Total,3389259,339500
585,19,Rural,50-59,Total,2392239,357304
586,19,Rural,60-69,Total,1381734,375261
587,19,Rural,70-79,Total,528755,170603
588,19,Rural,80+,Total,156605,50504
589,19,Rural,Age Not Stated,Total,8789,1453
590,19,Urban,All Ages,Total,5498783,1047762
591,19,Urban,Less than 20,Total,37104,15475
592,19,Urban,20-29,Total,341679,27969
593,19,Urban,30-39,Total,1071396,89574
594,19,Urban,40-49,Total,1509663,198852
595,19,Urban,50-59,Total,1278537,251948
596,19,Urban,60-69,Total,789047,257516
597,19,Urban,70-79,Total,350539,149112
598,19,Urban,80+,Total,110779,54970
599,19,Urban,Age Not Stated,Total,10039,2346
600,20,Total,All Ages,Total,5561363,681905
601,20,Total,Less than 20,Total,59457,26239
602,20,Total,20-29,Total,636374,43416
603,20,Total,30-39,Total,1428154,105408
604,20,Total,40-49,Total,1464522,160585
605,20,Total,50-59,Total,1008383,142155
606,20,Total,60-69,Total,680028,141064
607,20,Total,70-79,Total,215882,48867
608,20,Total,80+,Total,50316,11721
609,20,Total,Age Not Stated,Total,18247,2450
610,20,Rural,All Ages,Total,4211258,511150
611,20,Rural,Less than 20,Total,46521,20534
612,20,Rural,20-29,Total,515419,34012
613,20,Rural,30-39,Total,1103809,80051
614,20,Rural,40-49,Total,1089932,117867
615,20,Rural,50-59,Total,724872,102013
616,20,Rural,60-69,Total,519057,109540
617,20,Rural,70-79,Total,164130,37381
618,20,Rural,80+,Total,38459,8513
619,20,Rural,Age Not Stated,Total,9059,1239
620,20,Urban,All Ages,Total,1350105,170755
621,20,Urban,Less than 20,Total,12936,5705
622,20,Urban,20-29,Total,120955,9404
623,20,Urban,30-39,Total,324345,25357
624,20,Urban,40-49,Total,374590,42718
625,20,Urban,50-59,Total,283511,40142
626,20,Urban,60-69,Total,160971,31524
627,20,Urban,70-79,Total,51752,11486
628,20,Urban,80+,Total,11857,3208
629,20,Urban,Age Not Stated,Total,9188,1211
630,21,Total,All Ages,Total,8413890,1202073
631,21,Total,Less than 20,Total,52072,18670
632,21,Total,20-29,Total,786256,73757
633,21,Total,30-39,Total,2053985,187874
634,21,Total,40-49,Total,2272444,272290
635,21,Total,50-59,Total,1582078,238841
636,21,Total,60-69,Total,1090222,249068
637,21,Total,70-79,Total,435450,125046
638,21,Total,80+,Total,121379,33041
639,21,Total,Age Not Stated,Total,20004,3486
640,21,Rural,All Ages,Total,7074153,1001038
641,21,Rural,Less than 20,Total,42541,15088
642,21,Rural,20-29,Total,682644,62315
643,21,Rural,30-39,Total,1740503,157986
644,21,Rural,40-49,Total,1881043,223594
645,21,Rural,50-59,Total,1296153,194011
646,21,Rural,60-69,Total,936796,212006
647,21,Rural,70-79,Total,374646,106084
648,21,Rural,80+,Total,103756,27105
649,21,Rural,Age Not Stated,Total,16071,2849
650,21,Urban,All Ages,Total,1339737,201035
651,21,Urban,Less than 20,Total,9531,3582
652,21,Urban,20-29,Total,103612,11442
653,21,Urban,30-39,Total,313482,29888
654,21,Urban,40-49,Total,391401,48696
